epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3858,1.20739,3.10766,1.10402,0.02793,0.9211,0.07914,0.03943,0.27261,139.621,0.27024,0.0004,0.0004,0.0004
2,120.564,1.02781,2.14323,1.01162,0.02712,0.89435,0.04628,0.02355,0.32455,144.653,0.28066,0.000803764,0.000803764,0.000803764
3,178.529,0.99242,1.92075,1.01826,0.02732,0.90096,0.16455,0.11065,0.31777,180.669,0.29546,0.0011909,0.0011909,0.0011909
4,242.201,0.96112,1.79496,1.01106,0.24387,0.63651,0.23812,0.16713,0.24652,289.58,0.27083,0.0015614,0.0015614,0.0015614
5,306.714,0.92927,1.71683,1.00147,0.25543,0.76263,0.25751,0.19099,0.23329,554.936,0.27158,0.0018416,0.0018416,0.0018416
6,363.888,0.9582,1.79581,1.01669,0.25259,0.78541,0.25576,0.19269,0.21985,325.936,0.26469,0.001802,0.001802,0.001802
7,421.591,0.92277,1.81175,0.99939,0.25086,0.79597,0.25209,0.19074,0.23062,527.911,0.27438,0.0017624,0.0017624,0.0017624
8,478.97,0.92928,1.78315,0.97998,0.23662,0.78442,0.24411,0.1828,0.21859,602.875,0.26832,0.0017228,0.0017228,0.0017228
9,535.367,0.8575,1.78079,0.97091,0.25199,0.83064,0.25692,0.19776,0.2082,791.767,0.27008,0.0016832,0.0016832,0.0016832
10,591.813,0.87938,3.13404,0.99858,0.24945,0.83295,0.25722,0.20332,0.19832,873.059,0.26358,0.0016436,0.0016436,0.0016436
11,648.61,0.93504,1.75132,0.98379,0.24531,0.85309,0.24856,0.19229,0.20135,544.095,0.26123,0.001604,0.001604,0.001604
12,705.083,0.89499,1.64577,0.98285,0.25664,0.84087,0.25908,0.20545,0.19207,656.168,0.25621,0.0015644,0.0015644,0.0015644
13,761.071,0.84281,1.65031,0.96375,0.25711,0.8621,0.26369,0.21283,0.18495,470.539,0.25305,0.0015248,0.0015248,0.0015248
14,817.258,0.78429,1.58395,0.95173,0.25562,0.8894,0.26215,0.21385,0.17825,636.573,0.25187,0.0014852,0.0014852,0.0014852
15,874.252,0.804,1.47852,0.95815,0.25388,0.87752,0.26233,0.21383,0.17621,1162.67,0.25644,0.0014456,0.0014456,0.0014456
16,930.624,0.77568,1.571,0.95455,0.25164,0.88676,0.26808,0.21745,0.17566,666.56,0.25338,0.001406,0.001406,0.001406
17,986.903,0.76831,1.58244,0.96447,0.25483,0.88423,0.26826,0.21792,0.18097,470.26,0.25185,0.0013664,0.0013664,0.0013664
18,1043.06,0.80586,1.55042,0.96683,0.25609,0.87653,0.26667,0.21759,0.17792,778.468,0.25315,0.0013268,0.0013268,0.0013268
19,1099.26,0.80548,2.05238,0.94684,0.25293,0.90723,0.26774,0.2185,0.17313,447.749,0.25057,0.0012872,0.0012872,0.0012872
20,1154.63,0.79045,1.61461,0.97195,0.25743,0.8861,0.2673,0.22014,0.17149,655.758,0.25378,0.0012476,0.0012476,0.0012476
21,1211.19,0.76674,1.59845,0.95024,0.25193,0.89303,0.26574,0.2155,0.17165,541.663,0.2514,0.001208,0.001208,0.001208
22,1267.74,0.75874,1.44533,0.94251,0.25495,0.89402,0.26562,0.22129,0.16342,959.854,0.25116,0.0011684,0.0011684,0.0011684
23,1324.23,0.76338,1.5308,0.94105,0.2562,0.88511,0.27196,0.22652,0.16524,881.79,0.25043,0.0011288,0.0011288,0.0011288
24,1380.89,0.75071,1.44611,0.94288,0.25479,0.90261,0.27391,0.2266,0.16548,671.561,0.24854,0.0010892,0.0010892,0.0010892
25,1437.25,0.72426,1.54796,0.93611,0.25616,0.90591,0.27117,0.22757,0.15735,626.402,0.24842,0.0010496,0.0010496,0.0010496
26,1493.2,0.69628,1.45054,0.92088,0.25581,0.89964,0.27125,0.22802,0.15913,581.893,0.24754,0.00101,0.00101,0.00101
27,1548.94,0.75739,1.57919,0.93309,0.2548,0.90822,0.27198,0.22911,0.15843,518.508,0.24626,0.0009704,0.0009704,0.0009704
28,1604.45,0.68281,1.46206,0.92239,0.25759,0.89799,0.2706,0.22734,0.15625,715.154,0.24785,0.0009308,0.0009308,0.0009308
29,1660.45,0.70208,1.53841,0.93775,0.25899,0.89093,0.27222,0.22992,0.15375,820.952,0.24744,0.0008912,0.0008912,0.0008912
30,1716.24,0.68745,1.48141,0.919,0.25512,0.89766,0.27163,0.231,0.15324,563.332,0.24615,0.0008516,0.0008516,0.0008516
31,1772.03,0.68181,1.50005,0.92362,0.25501,0.90624,0.27619,0.23712,0.15134,520.317,0.24482,0.000812,0.000812,0.000812
32,1828.02,0.70945,1.42711,0.93463,0.25811,0.90393,0.27517,0.23281,0.15582,646.453,0.2452,0.0007724,0.0007724,0.0007724
33,1883.33,0.71893,1.54202,0.93431,0.2556,0.91152,0.27818,0.23736,0.1503,555.102,0.24458,0.0007328,0.0007328,0.0007328
34,1941.84,0.69923,1.51363,0.92684,0.254,0.92011,0.27653,0.2324,0.1553,498.241,0.24571,0.0006932,0.0006932,0.0006932
35,2000.41,0.66146,1.47202,0.91899,0.25733,0.90756,0.27823,0.23679,0.15092,621.325,0.24614,0.0006536,0.0006536,0.0006536
36,2059.13,0.66939,1.48768,0.91336,0.25916,0.91018,0.28122,0.2429,0.14511,665.646,0.24368,0.000614,0.000614,0.000614
37,2117.28,0.69076,1.53836,0.91803,0.25641,0.91746,0.28182,0.24427,0.14322,602.968,0.24342,0.0005744,0.0005744,0.0005744
38,2175.04,0.66168,1.46539,0.918,0.25751,0.91027,0.28068,0.24418,0.1428,531.154,0.24327,0.0005348,0.0005348,0.0005348
39,2233.36,0.68851,1.4369,0.91636,0.25904,0.90661,0.27954,0.24195,0.14341,589.798,0.24338,0.0004952,0.0004952,0.0004952
40,2290.57,0.66064,1.67558,0.91506,0.25805,0.9069,0.27963,0.24289,0.14343,557.778,0.24377,0.0004556,0.0004556,0.0004556
41,2346.73,0.58993,25.3743,0.86758,0.25775,0.90525,0.27792,0.23581,0.15539,517.331,0.24542,0.000416,0.000416,0.000416
42,2405.82,0.59544,1.50292,0.90955,0.25771,0.90921,0.28051,0.24209,0.14333,468.497,0.24287,0.0003764,0.0003764,0.0003764
43,2462.33,0.57733,1.49384,0.89383,0.25832,0.90591,0.27761,0.24065,0.14086,583.966,0.24246,0.0003368,0.0003368,0.0003368
44,2518.71,0.58746,1.5516,0.90503,0.25862,0.9069,0.28003,0.2424,0.14257,569.411,0.24217,0.0002972,0.0002972,0.0002972
45,2573.28,0.54521,1.45961,0.89752,0.25788,0.90756,0.28251,0.24614,0.13897,568.124,0.24191,0.0002576,0.0002576,0.0002576
46,2627.55,0.51518,20.8089,0.8479,0.25859,0.91119,0.27875,0.24309,0.1371,586.658,0.24161,0.000218,0.000218,0.000218
47,2682.2,0.55086,1.51002,0.89154,0.25851,0.90756,0.27907,0.24427,0.13645,575.935,0.24132,0.0001784,0.0001784,0.0001784
48,2737.06,0.55701,1.45044,0.89896,0.257,0.9135,0.28354,0.24879,0.13472,576.286,0.2412,0.0001388,0.0001388,0.0001388
49,2791.66,0.53516,1.49409,0.88464,0.2571,0.91416,0.28291,0.24802,0.1338,587.875,0.24057,9.92e-05,9.92e-05,9.92e-05
50,2845.86,0.53298,21.4184,0.83971,0.25758,0.91218,0.28381,0.24945,0.13266,616.796,0.24016,5.96e-05,5.96e-05,5.96e-05
